62,57,66,89,64,44,47,56,60,55,70,29,39,53,56,45,53,80,59,87,44,39,46,59,61,69,47
48,36,54,57,58,38,33,44,43,52,48,20,33,38,46,40,43,55,49,77,33,32,37,38,46,49,31
40,33,42,36,51,35,30,32,32,40,40,17,30,33,39,29,35,45,42,62,29,29,29,34,38,40,29
37,27,37,27,47,31,31,31,27,35,32,18,24,30,36,27,36,41,42,52,26,25,26,33,34,40,26
33,28,35,24,47,30,31,31,30,29,29,15,25,30,34,30,33,37,40,36,23,25,30,31,35,38,23
38,33,38,28,44,34,37,38,33,38,28,16,33,36,35,37,38,42,36,41,31,31,33,38,33,38,26
55,58,57,41,43,51,51,54,56,51,30,24,55,50,56,55,55,53,45,52,50,47,55,59,46,44,43
90,90,80,54,45,84,77,88,91,85,30,35,74,77,80,80,83,62,56,79,72,80,80,84,53,50,76
124,121,123,79,48,128,126,123,120,122,38,39,120,115,122,110,131,92,66,112,104,111,119,124,68,50,124
165,143,147,86,55,164,142,140,146,153,44,51,150,140,150,160,159,113,80,148,133,134,131,143,83,61,154
189,179,180,143,69,0,184,172,186,187,55,74,184,176,180,192,187,140,111,189,178,174,160,163,128,82,194
219,236,222,163,93,0,208,205,236,225,52,87,226,212,214,210,211,178,128,231,219,216,200,186,158,86,229
259,254,255,168,101,0,230,242,255,233,68,105,254,251,231,233,249,179,136,250,250,257,244,223,163,92,253
295,284,297,185,106,0,282,288,293,271,86,102,288,283,272,288,279,182,171,292,295,295,280,270,187,113,299
296,285,284,207,136,0,290,304,270,279,107,129,302,288,264,290,276,188,193,286,282,290,269,278,219,129,289
280,279,272,216,136,0,284,293,264,278,121,136,300,290,258,269,253,190,234,289,282,287,269,274,248,135,282
277,272,277,219,153,294,254,290,250,264,117,130,290,267,262,276,264,194,272,272,277,285,280,258,262,143,279
273,293,255,220,147,292,251,271,248,271,104,119,288,265,262,280,270,190,304,269,267,279,277,265,250,148,283
287,270,259,192,133,277,278,272,253,268,95,108,275,275,252,287,288,184,306,289,289,267,256,281,201,130,264
249,219,249,184,108,257,245,242,224,250,86,100,250,244,241,256,264,148,306,273,248,243,225,260,177,111,231
217,198,219,149,96,203,211,203,184,216,79,86,221,203,201,223,218,133,305,236,203,189,184,230,145,104,229
163,149,192,104,73,151,165,162,158,180,56,68,191,158,156,175,189,94,293,174,138,146,128,195,109,80,182
129,119,153,81,56,99,122,128,127,135,46,61,133,120,123,139,153,80,213,112,98,104,103,141,95,68,121
81,92,118,90,54,65,83,83,87,90,35,52,85,75,75,89,124,73,113,65,58,79,77,105,90,57,78
