15,20,15,14,27,43,16,11,15,13,9,34,9,3,11,11,16,15,43,32,29,26,17,20,18,13
6,12,14,10,23,27,13,9,11,6,9,22,9,3,5,10,5,10,25,13,15,26,17,19,18,11
4,5,9,6,14,18,6,9,5,4,6,18,6,4,3,4,3,8,14,8,8,24,17,18,17,9
4,5,5,5,7,10,5,7,5,4,5,11,6,3,3,5,2,5,13,7,4,24,18,18,17,10
4,4,5,5,6,7,4,4,4,4,5,8,5,3,3,5,2,5,7,7,2,16,17,18,17,10
3,5,5,5,4,4,5,6,4,5,4,6,5,3,4,5,2,4,5,4,3,0,17,18,17,10
6,6,7,6,5,4,6,7,6,6,6,4,7,4,5,5,5,5,4,6,7,0,17,18,17,10
18,14,15,14,8,6,17,13,17,13,19,4,8,11,13,12,17,9,6,6,14,0,18,19,18,10
20,12,17,16,14,9,13,17,17,15,16,8,8,13,13,13,12,12,10,11,11,0,17,18,18,11
26,16,16,19,14,15,19,15,16,18,19,17,11,15,17,19,18,20,18,22,19,0,18,19,18,0
23,17,20,25,21,15,19,22,17,20,28,24,16,16,19,16,21,19,25,25,19,0,17,19,19,0
23,23,25,29,25,17,21,28,21,29,30,21,18,18,26,20,26,25,27,36,26,0,20,17,19,0
30,29,30,24,24,23,22,26,22,30,33,21,24,21,30,30,32,25,29,43,25,0,19,18,18,0
41,33,32,44,36,28,33,33,34,25,37,32,24,28,37,36,38,31,24,57,25,0,19,19,21,0
43,30,29,27,38,30,26,29,28,25,35,23,19,18,31,26,30,37,26,75,29,0,22,19,20,0
42,25,26,32,50,28,24,30,27,23,33,34,21,27,33,28,30,36,33,100,26,0,19,19,20,0
42,36,31,35,53,31,27,43,34,21,36,36,0,21,32,27,34,34,37,125,33,0,19,20,19,0
35,38,38,35,55,41,29,41,35,27,32,21,0,26,30,35,36,36,42,130,41,0,20,20,21,0
37,35,35,37,52,42,29,41,32,32,38,32,0,31,35,34,33,39,40,129,37,0,19,21,23,0
46,38,37,46,58,41,39,43,36,40,50,31,37,35,40,37,52,57,39,129,38,0,22,20,22,0
55,37,47,66,72,40,39,46,34,43,65,31,34,35,42,42,62,73,38,129,50,8,26,26,26,0
56,43,50,76,69,41,34,50,39,38,71,27,39,24,45,35,65,75,38,122,29,28,24,28,19,0
38,27,35,74,61,40,25,50,30,29,60,22,21,22,30,32,44,80,53,89,27,23,21,24,20,0
29,20,18,62,54,29,19,22,15,22,52,12,7,16,23,22,28,66,52,76,29,18,19,20,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
